"Day","Feedback","Visits"
2013-03-28,FALSE,2766
2013-03-29,FALSE,3162
2013-03-30,FALSE,3396
2013-03-31,TRUE,2858
2013-04-01,TRUE,4372
2013-04-02,FALSE,4841
2013-04-03,FALSE,3439
2013-04-04,FALSE,3014
2013-04-05,TRUE,2759
2013-04-06,FALSE,2613
2013-04-07,FALSE,3068
2013-04-08,FALSE,4043
2013-04-09,FALSE,3839
2013-04-10,FALSE,4135
2013-04-11,FALSE,5670
2013-04-12,FALSE,3888
2013-04-13,TRUE,3192
2013-04-14,FALSE,2901
2013-04-15,FALSE,2655
2013-04-16,FALSE,2433
2013-04-17,FALSE,2421
2013-04-18,FALSE,2059
2013-04-19,FALSE,1875
2013-04-20,FALSE,2126
2013-04-21,FALSE,2351
2013-04-22,FALSE,2482
2013-04-23,FALSE,2498
2013-04-24,TRUE,3076
2013-04-25,FALSE,2589
2013-04-26,FALSE,1846
2013-04-27,FALSE,1372
2013-04-28,FALSE,1721
2013-04-29,FALSE,1992
2013-04-30,FALSE,1820
2013-05-01,FALSE,1682
2013-05-02,FALSE,1727
2013-05-03,FALSE,4971
2013-05-04,FALSE,29111
2013-05-05,FALSE,7334
2013-05-06,FALSE,6845
2013-05-07,FALSE,5592
2013-05-08,TRUE,3402
2013-05-09,TRUE,2244
2013-05-10,FALSE,1756
2013-05-11,FALSE,1687
2013-05-12,FALSE,2207
2013-05-13,FALSE,1987
2013-05-14,TRUE,1729
2013-05-15,FALSE,1547
2013-05-16,FALSE,1600
2013-05-17,FALSE,1387
2013-05-18,FALSE,1614
2013-05-19,FALSE,1541
2013-05-20,FALSE,1797
2013-05-21,FALSE,1583
2013-05-22,FALSE,1565
2013-05-23,FALSE,1477
2013-05-24,FALSE,1595
2013-05-25,FALSE,1294
2013-05-26,TRUE,1193
2013-05-27,FALSE,1325
2013-05-28,FALSE,1516
2013-05-29,TRUE,1420
2013-05-30,FALSE,1464
2013-05-31,FALSE,1295
2013-06-01,FALSE,1387
2013-06-02,FALSE,1365
2013-06-03,FALSE,1472
2013-06-04,FALSE,1509
2013-06-05,FALSE,1246
2013-06-06,FALSE,1264
2013-06-07,FALSE,1204
2013-06-08,FALSE,1080
2013-06-09,FALSE,1177
2013-06-10,FALSE,1289
2013-06-11,FALSE,1223
2013-06-12,FALSE,1157
2013-06-13,FALSE,1130
2013-06-14,FALSE,977
2013-06-15,FALSE,911
2013-06-16,FALSE,1128
2013-06-17,FALSE,1385
2013-06-18,FALSE,1275
2013-06-19,FALSE,1660
2013-06-20,FALSE,1301
2013-06-21,FALSE,1017
2013-06-22,FALSE,1032
2013-06-23,FALSE,1636
2013-06-24,FALSE,2609
2013-06-25,FALSE,1558
2013-06-26,FALSE,1317
2013-06-27,FALSE,1346
2013-06-28,FALSE,1245
2013-06-29,FALSE,1116
2013-06-30,FALSE,1346
2013-07-01,FALSE,1330
2013-07-02,FALSE,1379
2013-07-03,FALSE,1436
2013-07-04,FALSE,1300
2013-07-05,FALSE,976
2013-07-06,FALSE,880
2013-07-07,FALSE,1045
2013-07-08,FALSE,1158
2013-07-09,TRUE,1203
2013-07-10,FALSE,1265
2013-07-11,TRUE,1209
2013-07-12,FALSE,1031
2013-07-13,FALSE,1103
2013-07-14,TRUE,1888
2013-07-15,FALSE,1515
2013-07-16,FALSE,1274
2013-07-17,FALSE,1175
2013-07-18,FALSE,1096
2013-07-19,FALSE,972
2013-07-20,FALSE,1047
2013-07-21,FALSE,1121
2013-07-22,FALSE,1100
2013-07-23,FALSE,1148
2013-07-24,FALSE,1180
2013-07-25,FALSE,1081
2013-07-26,FALSE,938
2013-07-27,FALSE,908
2013-07-28,FALSE,1019
2013-07-29,FALSE,1117
2013-07-30,FALSE,1158
2013-07-31,FALSE,1145
2013-08-01,FALSE,1083
2013-08-02,FALSE,974
2013-08-03,FALSE,1056
2013-08-04,FALSE,1049
2013-08-05,FALSE,1527
2013-08-06,TRUE,1262
2013-08-07,FALSE,1129
2013-08-08,FALSE,1033
2013-08-09,FALSE,930
2013-08-10,FALSE,852
2013-08-11,FALSE,937
2013-08-12,FALSE,1074
2013-08-13,FALSE,1099
2013-08-14,FALSE,1134
2013-08-15,FALSE,1172
2013-08-16,FALSE,1001
2013-08-17,FALSE,943
2013-08-18,FALSE,1019
2013-08-19,FALSE,1520
2013-08-20,FALSE,1237
2013-08-21,FALSE,1128
2013-08-22,FALSE,1207
2013-08-23,FALSE,973
2013-08-24,FALSE,861
2013-08-25,FALSE,1034
2013-08-26,FALSE,1031
2013-08-27,FALSE,1173
2013-08-28,FALSE,1061
2013-08-29,FALSE,990
2013-08-30,FALSE,291
2013-08-31,FALSE,1085
2013-09-01,FALSE,1243
2013-09-02,FALSE,1485
2013-09-03,FALSE,1556
2013-09-04,FALSE,1523
2013-09-05,FALSE,1392
2013-09-06,FALSE,1272
2013-09-07,FALSE,1185
2013-09-08,FALSE,1363
2013-09-09,FALSE,1481
2013-09-10,FALSE,1399
2013-09-11,FALSE,660
2013-09-12,FALSE,1318
2013-09-13,FALSE,1263
2013-09-14,TRUE,1162
2013-09-15,FALSE,1895
2013-09-16,FALSE,1784
2013-09-17,FALSE,1484
2013-09-18,FALSE,1301
2013-09-19,FALSE,1231
2013-09-20,FALSE,1108
2013-09-21,TRUE,1147
2013-09-22,FALSE,1213
2013-09-23,FALSE,1930
2013-09-24,FALSE,1684
2013-09-25,TRUE,13320
2013-09-26,TRUE,5017
2013-09-27,FALSE,9666
2013-09-28,TRUE,15583
2013-09-29,FALSE,15250
2013-09-30,FALSE,11267
2013-10-01,FALSE,7164
2013-10-02,FALSE,5563
2013-10-03,FALSE,16258
2013-10-04,FALSE,34358
2013-10-05,TRUE,17073
2013-10-06,FALSE,21117
2013-10-07,TRUE,18136
2013-10-08,FALSE,5370
2013-10-09,TRUE,16931
2013-10-10,FALSE,4032
2013-10-11,FALSE,3081
2013-10-12,FALSE,2326
2013-10-13,TRUE,5614
2013-10-14,FALSE,3019
2013-10-15,FALSE,2594
2013-10-16,FALSE,3981
2013-10-17,FALSE,18022
2013-10-18,FALSE,3628
2013-10-19,FALSE,2221
2013-10-20,FALSE,3597
2013-10-21,TRUE,12427
2013-10-22,FALSE,5804
2013-10-23,FALSE,2869
2013-10-24,TRUE,2211
2013-10-25,FALSE,1885
2013-10-26,FALSE,2073
2013-10-27,TRUE,2791
2013-10-28,TRUE,3710
2013-10-29,FALSE,2008
2013-10-30,FALSE,1948
2013-10-31,FALSE,1604
2013-11-01,FALSE,1562
2013-11-02,FALSE,1447
2013-11-03,FALSE,1570
2013-11-04,FALSE,1628
2013-11-05,TRUE,1779
2013-11-06,FALSE,1615
2013-11-07,FALSE,1842
2013-11-08,FALSE,1529
2013-11-09,FALSE,1406
2013-11-10,FALSE,1523
2013-11-11,FALSE,1532
2013-11-12,TRUE,1592
2013-11-13,FALSE,1531
2013-11-14,FALSE,1388
2013-11-15,FALSE,1533
2013-11-16,FALSE,2612
2013-11-17,FALSE,1856
2013-11-18,FALSE,1828
2013-11-19,FALSE,1615
2013-11-20,FALSE,1433
2013-11-21,TRUE,1379
2013-11-22,FALSE,1224
2013-11-23,FALSE,1196
2013-11-24,FALSE,1340
2013-11-25,FALSE,1442
2013-11-26,FALSE,1458
2013-11-27,FALSE,1297
2013-11-28,FALSE,1146
2013-11-29,FALSE,1330
2013-11-30,FALSE,1077
