"Product","Dead","Started","Ended","Hits","Type","Profit","FLOSS","Acquisition","Social","Days","AvgHits","DeflatedHits","AvgDeflatedHits"
"Gizmo5",TRUE,2009-11-12,2011-04-03,288000,"program",TRUE,FALSE,TRUE,FALSE,507,228.028503562945,2.76633384609943e-06,-0.424244091441414
"Zingku",TRUE,2007-09-27,2010-05-15,11000,"service",FALSE,FALSE,TRUE,TRUE,961,5.3921568627451,3.44248381566208e-07,-0.113221107058537
"Social Gold",TRUE,2010-08-13,2011-05-31,19500,"service",TRUE,FALSE,TRUE,TRUE,291,19.7168857431749,1.23496552478965e-07,-0.187431040091015
"BeatThatQuote.com",TRUE,2011-03-07,2013-03-02,103000,"service",TRUE,FALSE,TRUE,FALSE,726,131.54533844189,4.76934174527804e-07,-0.335214985689012
"Starred search",TRUE,2010-03-03,2011-03-12,13600,"service",FALSE,FALSE,FALSE,FALSE,374,11.8055555555556,1.10349404522093e-07,-0.154096735100978
"Image Swirl",TRUE,2009-10-17,2011-09-02,50100,"service",FALSE,FALSE,FALSE,FALSE,685,38.8673390224981,5.00627556721637e-07,-0.252295616256642
"India Elections Centre",TRUE,2009-04-06,2011-12-15,10100,"service",FALSE,FALSE,FALSE,FALSE,983,6.81051921780175,1.35542387688358e-07,-0.121314696760054
"Academic Cluster Computing Initiative",TRUE,2007-10-08,2011-12-22,55100,"service",FALSE,TRUE,FALSE,FALSE,1536,27.1562345983243,1.6957769902227e-06,-0.248477070659725
"Unofficial Guides",FALSE,2012-08-31,2013-04-01,325000,"thing",TRUE,FALSE,TRUE,FALSE,213,1354.16666666667,6.59206932370528e-07,-0.506662861546126
"WhatsonWhen",FALSE,2012-08-31,2013-04-01,224000,"thing",TRUE,FALSE,TRUE,FALSE,213,933.333333333333,4.54345701079995e-07,-0.468267022839009
"Zagat",FALSE,2011-09-08,2013-04-01,4680000,"service",TRUE,FALSE,TRUE,FALSE,571,7826.08695652174,1.6358069261072e-05,-0.813482384148128
"3D Warehouse",FALSE,2006-04-24,2013-04-01,8670000,"service",FALSE,FALSE,FALSE,FALSE,2534,3385.39632955877,0.0005990415784944,-1.09528700873101
