"Sleep.Date","ZQ","Total.Z","Time.to.Z","Time.in.Wake","Time.in.REM","Time.in.Light","Time.in.Deep","Awakenings","Morning.Feel","MP","Disturbance"
2012-07-23,96,513,23,10,175,271,68,4,4,"4",-2.01236661582079
2012-07-24,97,546,17,17,166,320,61,7,2,"4",-1.07016864207385
2012-07-25,100,578,22,30,185,328,65,12,4,"4",1.63828224496223
2012-07-26,88,508,22,31,150,299,59,9,3,"3",0.705593813206595
2012-07-27,95,525,20,14,162,300,63,6,3,"2",-1.34951034493275
2012-07-28,91,525,18,31,164,297,65,11,3,"3",1.07956131131749
2012-07-29,88,492,21,17,161,267,65,10,4,"3",0.201117609546221
2012-07-31,106,567,16,16,202,283,83,8,4,"3",-0.866615210655968
2012-08-01,45,310,76,191,114,157,40,4,1,"3",11.6103599807965
2012-08-02,101,535,14,13,208,258,69,6,3,"3",-1.83017516568793
2012-08-03,86,454,20,16,163,220,71,6,2,"2",-1.24058270876687
2012-08-04,96,557,25,14,174,332,52,10,3,"2",0.32186015707888
2012-08-05,107,587,13,15,188,326,73,7,3,"2",-1.46323028002122
2012-08-06,100,565,20,22,179,328,59,6,3,"2",-0.913799800269212
2012-08-07,85,490,27,21,166,269,55,11,2,"2",1.17422463449642
2012-08-08,94,531,17,20,161,318,53,5,3,"3",-1.56487868771741
2012-08-09,100,563,31,29,195,304,64,9,4,"4",1.23596768104906
2012-08-10,90,506,25,13,150,297,60,7,3,"3",-0.719755910842642
2012-08-11,95,539,34,17,179,307,53,7,3,"4",0.137400865497475
2012-08-12,102,570,15,26,199,315,57,6,2,"2",-1.0511120301643
2012-08-13,98,544,25,19,195,283,67,9,3,"4",0.2651284975474
2012-08-14,89,493,45,17,151,286,56,4,3,"3",-0.0683828794420134
2012-08-15,91,514,30,7,163,302,49,5,3,"3",-1.34947281700582
2012-08-16,98,570,32,34,212,302,56,12,4,"2",2.56647252174772
2012-08-17,102,573,12,18,170,326,77,11,2,"2",-0.0546693264329907
2012-08-18,87,484,51,28,146,265,73,10,2,"2",2.93122462181975
2012-08-19,94,549,17,48,197,293,60,12,2,"3",2.26346346822834
2012-08-20,100,541,30,13,173,296,72,5,3,"3",-1.02268990850817
2012-08-21,94,532,31,19,146,317,69,9,3,"3",0.691329500219631
2012-08-22,96,568,38,33,213,302,54,15,3,"3",3.92536195617559
2012-08-23,101,569,33,21,208,305,56,9,4,"4",0.94232413727626
2012-08-24,101,540,43,9,211,265,65,6,4,"3",0.0119410748960889
2012-08-25,89,499,39,17,179,265,56,8,1,"3",0.821619117670528
2012-08-26,98,565,17,29,223,281,61,16,3,"3",2.5448539244372
2012-08-27,97,565,40,9,171,349,45,7,3,"4",0.127891323506166
2012-08-28,98,538,45,22,190,285,64,7,3,"3",1.19108846081128
2012-08-29,88,507,27,20,175,290,42,6,4,"3",-0.525492933317493
2012-08-30,93,531,32,26,161,315,56,6,3,"3",0.156457477407021
2012-08-31,87,504,23,35,148,302,55,8,4,"2",0.665431836037544
2012-09-01,93,515,31,25,192,265,59,7,3,"4",0.3600109088249
2012-09-02,101,568,30,30,172,317,80,11,3,"2",1.87749949857901
2012-09-03,92,536,23,32,186,295,56,12,1,"3",1.81824338157349
2012-09-04,64,408,26,53,110,259,39,11,1,"3",2.8460333127052
2012-09-05,92,479,18,10,167,235,77,5,2,"4",-2.03848336810146
2012-09-06,95,529,28,20,186,285,58,7,3,"4",-0.125408682925928
